Cluster,x_left_0,x_left_1,x_left_2,x_left_3,x_left_4,x_left_5,x_left_6,x_left_7,x_left_8,x_left_9,x_left_10,x_left_11,x_left_12,x_left_13,x_left_14,x_left_15,x_left_16,x_left_17,x_left_18,x_left_19,x_left_20,x_left_21,x_left_22,x_left_23,x_left_24,x_left_25,x_left_26,x_left_27,x_left_28,x_left_29,x_left_30,x_left_31,x_left_32,x_left_33,x_left_34,x_left_35,x_left_36,x_left_37,x_left_38,x_left_39,x_left_40,x_left_41,x_left_42,x_left_43,x_left_44,x_left_45,x_left_46,x_left_47,x_left_48,x_left_49,x_left_Amygdala_volume,x_right_0,x_right_1,x_right_2,x_right_3,x_right_4,x_right_5,x_right_6,x_right_7,x_right_8,x_right_9,x_right_10,x_right_11,x_right_12,x_right_13,x_right_14,x_right_15,x_right_16,x_right_17,x_right_18,x_right_19,x_right_20,x_right_21,x_right_22,x_right_23,x_right_24,x_right_25,x_right_26,x_right_27,x_right_28,x_right_29,x_right_30,x_right_31,x_right_32,x_right_33,x_right_34,x_right_35,x_right_36,x_right_37,x_right_38,x_right_39,x_right_40,x_right_41,x_right_42,x_right_43,x_right_44,x_right_45,x_right_46,x_right_47,x_right_48,x_right_49,x_right_Amygdala_volume
1,0.372262774,0.321167883,0.423357664,0.423357664,0.248175182,0.525547445,0.204379562,0.153284672,0.335766423,0.087591241,0.350364964,0.394160584,0.160583942,0.189781022,0.343065693,0.240875912,0.343065693,0.671532847,0.627737226,0.671532847,0.554744526,0.423357664,0.569343066,0.496350365,0.489051095,0.569343066,0.503649635,0.394160584,0.489051095,0.372262774,0.416058394,0.094890511,0.189781022,0.138686131,0.233576642,0.109489051,0.313868613,0.350364964,0.372262774,0.284671533,0.321167883,0.291970803,0.364963504,0.474452555,0.416058394,0.401459854,0.364963504,0.182481752,0.416058394,0.379562044,1.371155789,0.437956204,0.197080292,0.437956204,0.386861314,0.255474453,0.445255474,0.145985401,0.175182482,0.379562044,0.175182482,0.430656934,0.474452555,0.291970803,0.204379562,0.481751825,0.364963504,0.321167883,0.554744526,0.525547445,0.620437956,0.474452555,0.306569343,0.481751825,0.474452555,0.408759124,0.416058394,0.459854015,0.379562044,0.437956204,0.445255474,0.372262774,0.233576642,0.218978102,0.189781022,0.299270073,0.197080292,0.379562044,0.248175182,0.226277372,0.233576642,0.328467153,0.416058394,0.299270073,0.423357664,0.416058394,0.321167883,0.233576642,0.204379562,0.306569343,0.328467153,1.255283469
2,-0.442424242,-0.357575758,-0.393939394,-0.436363636,-0.327272727,-0.563636364,-0.278787879,-0.236363636,-0.363636364,-0.290909091,-0.36969697,-0.406060606,-0.254545455,-0.133333333,-0.381818182,-0.309090909,-0.333333333,-0.56969697,-0.478787879,-0.56969697,-0.496969697,-0.418181818,-0.551515152,-0.490909091,-0.527272727,-0.527272727,-0.490909091,-0.212121212,-0.296969697,-0.224242424,-0.333333333,-0.036363636,-0.109090909,-0.084848485,-0.236363636,-0.048484848,-0.296969697,-0.315151515,-0.236363636,-0.212121212,-0.278787879,-0.315151515,-0.16969697,-0.327272727,-0.303030303,-0.115151515,-0.096969697,-0.024242424,-0.151515152,-0.43030303,-1.587450787,-0.466666667,-0.23030303,-0.339393939,-0.424242424,-0.296969697,-0.606060606,-0.163636364,-0.16969697,-0.333333333,-0.284848485,-0.448484848,-0.357575758,-0.309090909,-0.103030303,-0.436363636,-0.363636364,-0.36969697,-0.563636364,-0.43030303,-0.503030303,-0.56969697,-0.43030303,-0.490909091,-0.515151515,-0.509090909,-0.521212121,-0.478787879,-0.145454545,-0.090909091,-0.193939394,-0.278787879,-0.133333333,-0.012121212,-0.133333333,-0.139393939,0.006060606,-0.272727273,-0.278787879,-0.139393939,-0.193939394,-0.260606061,-0.345454545,-0.103030303,-0.284848485,-0.242424242,-0.133333333,-0.096969697,-0.072727273,-0.103030303,-0.406060606,-1.555381074
3,0.15862069,0.034482759,0.075862069,0.117241379,0.124137931,0.179310345,0.082758621,0.082758621,0.068965517,0.220689655,0.117241379,0.013793103,0.255172414,0.117241379,0.096551724,0.103448276,0.048275862,0.082758621,-0.096551724,0.034482759,0.062068966,0.04137931,0.103448276,0.096551724,0.096551724,0.206896552,0.082758621,-0.15862069,-0.193103448,-0.034482759,-0.006896552,-0.165517241,-0.034482759,-0.020689655,0.075862069,-0.04137931,0.055172414,0.020689655,-0.068965517,0.034482759,-0.006896552,0.062068966,-0.110344828,-0.027586207,-0.137931034,-0.179310345,-0.206896552,-0.227586207,-0.179310345,0.15862069,0.656876188,0.165517241,0.124137931,0.04137931,0.124137931,0.082758621,0.255172414,0.020689655,0.034482759,0.062068966,0.075862069,0.082758621,-0.027586207,0.144827586,0.034482759,0.055172414,0.013793103,0.027586207,0.131034483,-0.055172414,0.062068966,0.144827586,0.144827586,0.220689655,0.220689655,0.248275862,0.186206897,0.089655172,-0.15862069,-0.24137931,-0.165517241,-0.04137931,-0.055172414,-0.186206897,-0.068965517,-0.048275862,-0.234482759,-0.006896552,0.062068966,-0.103448276,0.048275862,0.048275862,0.027586207,-0.103448276,-0.068965517,-0.082758621,-0.193103448,-0.103448276,-0.15862069,-0.179310345,0.110344828,0.638629627
