"Region","Intercept","Tau_Coeff","ICV_Coeff"
"x_left_0",3.98398733646172,-0.742433399816994,NA
"x_left_1",6.33853852677359,-0.812087114608179,NA
"x_left_2",6.50707961685225,-0.737355837188946,NA
"x_left_3",5.2532569505488,-0.778529780206878,NA
"x_left_5",3.80594931717197,-0.512825041944193,NA
"x_left_6",4.27662417989893,-0.0305117103277449,NA
"x_left_7",2.38576012430862,-0.237374131943602,NA
"x_left_8",4.58054865907285,-0.453439223549392,NA
"x_left_9",2.15432509199036,-0.269518132872184,NA
"x_left_10",4.38708837730387,-0.490551348094471,NA
"x_left_11",5.22774839571845,-0.542126157345811,NA
"x_left_12",1.96667807463414,-0.217253384548169,NA
"x_left_13",2.01586908236402,-0.249346145947313,NA
"x_left_14",5.04602742986321,-0.385627104246667,NA
"x_left_15",5.51596265420011,-0.649523035916185,NA
"x_left_16",5.51923326857781,-0.72711801465489,NA
"x_left_17",2.17254712237546,-0.251413115640588,NA
"x_left_18",1.87700972520425,-0.113643796714381,NA
"x_left_19",2.01643984696061,-0.197440666763251,NA
"x_left_20",2.6844478734962,-0.436359165642566,NA
"x_left_21",2.54274805964546,-0.165569439825647,NA
"x_left_22",2.32302505708399,-0.263686252862167,NA
"x_left_23",2.58046929088289,-0.421218975165024,NA
"x_left_24",2.78956047808962,-0.473582743077518,NA
"x_left_25",2.7084561639146,-0.503996867390458,NA
"x_left_26",2.92994837884232,-0.468431777172006,NA
"x_left_27",2.61736653845482,-0.232903891981245,NA
"x_left_28",2.32568758812171,-0.156114032936874,NA
"x_left_29",2.7455250450592,-0.290270822705575,NA
"x_left_30",2.69266481090323,-0.275673401592185,NA
"x_left_31",3.14989010301947,-0.256652897224966,NA
"x_left_32",2.83049268772544,-0.0733794478590323,NA
"x_left_33",2.1311206683511,-0.0138280201972866,NA
"x_left_34",2.1868326951547,-0.164520187692558,NA
"x_left_35",3.03592602574527,0.0788501623561321,NA
"x_left_36",2.98028975517033,-0.0780878396839179,NA
"x_left_37",2.94130004877054,-0.084499807976321,NA
"x_left_38",3.19602254866879,-0.244849974336396,NA
"x_left_39",2.19364532291347,-0.133137311712303,NA
"x_left_40",3.02067507934636,-0.0286517411101032,NA
"x_left_41",2.23899088880663,-0.217522553578205,NA
"x_left_42",2.40609100107325,-0.147242261467985,NA
"x_left_43",2.10842931967413,-0.322327914385761,NA
"x_left_44",2.2255130353466,-0.269664640338746,NA
"x_left_45",2.64411269992722,-0.035220132093862,NA
"x_left_46",2.24003595387132,-0.0232892560725487,NA
"x_left_47",2.85153435702389,-0.13059382597919,NA
"x_left_48",2.40130096322374,-0.0190855189154912,NA
"x_left_49",2.22935342443476,-0.0987766986122431,NA
"x_left_Amygdala_volume",158.516503555009,-181.155490687058,0.000588836395944816
"x_right_0",3.99384448558166,-0.733006662520622,NA
"x_right_1",6.16569609489623,-0.612144801554277,NA
"x_right_2",6.21674911924504,-1.03264397482356,NA
"x_right_3",5.33405717916222,-0.761670368442632,NA
"x_right_5",3.98531461316224,-0.567805289223402,NA
"x_right_6",3.95887069041762,-0.293976514984146,NA
"x_right_7",2.30924671557356,-0.277696093738235,NA
"x_right_8",4.6190075656654,-0.529763970033219,NA
"x_right_9",2.18126546623973,-0.365143007103441,NA
"x_right_10",4.70453863496285,-0.491296537353813,NA
"x_right_11",5.40103112191515,-0.59854614765892,NA
"x_right_12",1.93458876266952,-0.214077394930784,NA
"x_right_13",1.94280425188783,-0.175756469290299,NA
"x_right_14",5.36717717751472,-0.363315871273397,NA
"x_right_15",5.56800116158226,-0.680935313575681,NA
"x_right_16",5.75439626652089,-0.360739854515121,NA
"x_right_17",2.31182482081265,-0.323708191001439,NA
"x_right_18",1.95191201610235,-0.168813872979494,NA
"x_right_19",2.03994264275193,-0.296769392153065,NA
"x_right_20",2.95395362909932,-0.33106755826547,NA
"x_right_21",2.72555468134758,-0.155217000053144,NA
"x_right_22",2.4505745916011,-0.339411737619054,NA
"x_right_23",2.59175015185558,-0.436703358114565,NA
"x_right_24",2.74711776257972,-0.564672756016326,NA
"x_right_25",2.8531443086769,-0.291978256430728,NA
"x_right_26",2.97327634049887,-0.571424801300901,NA
"x_right_27",2.44161930226865,-0.271142686968635,NA
"x_right_28",2.39773058453036,-0.111603149140352,NA
"x_right_29",2.62866650687793,-0.299793970751939,NA
"x_right_30",2.72826239224079,-0.327966714354719,NA
"x_right_31",3.11228558415143,-0.177959183858888,NA
"x_right_32",2.65643880889506,-0.238665471948778,NA
"x_right_33",2.06235954303681,-0.0190051239526224,NA
"x_right_34",2.35351665033098,-0.137981586824367,NA
"x_right_35",2.94836717457746,0.0589190052438288,NA
"x_right_36",2.98805963703957,-0.168767859884609,NA
"x_right_37",2.79989639319476,-0.214337720227203,NA
"x_right_38",3.21235015330192,-0.2290074260556,NA
"x_right_39",2.07437845834187,-0.34268339354661,NA
"x_right_40",2.92153164243994,-0.114408228808035,NA
"x_right_41",2.3142189675973,-0.256615804692934,NA
"x_right_42",2.42064064414218,-0.163785708265452,NA
"x_right_43",2.12448276348773,-0.3228782220775,NA
"x_right_44",2.23298570333292,-0.217845621232119,NA
"x_right_45",2.55463286873527,-0.128613881000482,NA
"x_right_46",2.40141523377803,0.0518899911517384,NA
"x_right_47",2.92974790092236,0.0219229739282703,NA
"x_right_48",2.51132110588372,-0.0734590256968151,NA
"x_right_49",2.26547494188948,-0.170003895484408,NA
"x_right_Amygdala_volume",82.3760704047216,-187.114444283382,0.000671373515523335
